1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
A1,A7,B1,B7,C1,C7,D1,A1,A3,A5,A1,A3,A5,A1,A3,A5,A1,A3,A5,A1,A3,A5,A1,A3,A5,A7,A9,A11,A7,A9,A11,A7,A9,A11,A7,A9,A11,A3,A5,A1,B1,B3,B5,B1,B3,B5,A3,A5,A1,B1,B3,B5,A3,A5,A1,B7,B9,B11,A9,A11,A7,A9,A11,A7,C1,C3,C5,B3,B5,B1
A3,A9,B3,B9,C3,C9,D3,A7,A9,A11,A9,A11,A7,B7,B9,B11,B3,B5,B1,C7,C9,C11,B9,B11,B7,B1,B3,B5,B3,B5,B1,C1,C3,C5,B9,B11,B7,A7,A9,A11,B7,B9,B11,B9,B11,B7,B1,B3,B5,C3,C5,C1,B7,B9,B11,C3,C5,C1,B7,B9,B11,C1,C3,C5,C9,C11,C7,C7,C9,C11
A5,A11,B5,B11,C5,C11,D5,C3,C5,C1,B1,B3,B5,C9,C11,C7,C1,C3,C5,D3,D5,D1,D1,D3,D5,C9,C11,C7,B7,B9,B11,D3,D5,D1,C7,C9,C11,D1,D3,D5,D3,D5,D1,C1,C3,C5,C7,C9,C11,D1,D3,D5,C1,C3,C5,C7,C9,C11,D1,D3,D5,C7,C9,C11,D1,D3,D5,D1,D3,D5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21x70,BEAR
