"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"B5","A5","B11","A7","A5","B3","C5","A9","A1","A3","B3","C7","B11","B11","D1"
"C3","B1","C11","D9","C3","C3","D7","D3","A11","B9","D9","D3","C7","C5","D5"
"","D5","","D11","C5","","","","B7","C3","","","D5","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"A11","A7","B7","C7","B7","B5","A7","B9","B1","A5","C5","A3","A1","A7","A3"
"B1","B7","C3","C11","D1","C1","C9","B11","C3","A9","C7","C1","C9","B5","D3"
"B11","D7","C7","D9","D3","C11","D1","C1","D7","D7","C9","C7","","B9","D7"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
"B11","A9","A7","A5","B5","A3","A5","A1","B9","A9","A3","B3","A9","C1","B1"
"D7","D11","A11","B11","C9","A11","B3","D3","C11","A11","B5","D7","C7","C9","B3"
"D11","","C1","D9","D11","D11","B7","","D5","B5","D1","","D1","","C11"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"A1","A5","B1","A3","B1","B1","C5","A11","A1","A1","A5","A7","B7","A9","A11"
"C1","A7","C5","B7","D3","D1","D5","C9","A3","B3","B9","C3","B9","C1","D1"
"D11","C11","","C11","D9","D11","D9","","","B5","","D5","","D5","D9"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
24x60,FOX
