1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
A3,A5,A1,B1,B3,B5,A3,A5,A1,B7,B9,B11,A3,A5,A1,A9,A11,A7,C1,C3,C5,A3,A5,A1,A9,A11,A7,A3,A5,A1,A9,A11,A7,B3,B5,B1,D1,D3,D5,A3,A5,A1,A9,A11,A7,B3,B5,B1,A3,A5,A1,D7,D9,D11,A9,A11,A7,B3,B5,B1,B9,B11,B7,A9,A11,A7,E1,E3,E5,B3,B5,B1,B9,B11,B7,B3,B5,B1,E7,E9,E11,B9,B11,B7,C3,C5,C1,B9,B11,B7,C3,C5,C1,C3,C5,C1,C9,C11,C7,C9,C11,C7,D3,D5,D1
A7,A9,A11,D9,D11,D7,B1,B3,B5,C3,C5,C1,B7,B9,B11,B7,B9,B11,C9,C11,C7,C1,C3,C5,C1,C3,C5,C7,C9,C11,C7,C9,C11,C7,C9,C11,D9,D11,D7,D1,D3,D5,D1,D3,D5,D1,D3,D5,D7,D9,D11,E3,E5,E1,D7,D9,D11,D7,D9,D11,D7,D9,D11,E1,E3,E5,E9,E11,E7,E1,E3,E5,E1,E3,E5,E7,E9,E11,F3,F5,F1,E7,E9,E11,E7,E9,E11,F1,F3,F5,F1,F3,F5,F7,F9,F11,F7,F9,F11,G1,G3,G5,G7,G9,G11
H1,H3,H5,G1,G3,G5,G7,G9,G11,C7,C9,C11,G1,G3,G5,H1,H3,H5,D1,D3,D5,F7,F9,F11,G7,G9,G11,F1,F3,F5,G1,G3,G5,H1,H3,H5,E1,E3,E5,E7,E9,E11,F7,F9,F11,G7,G9,G11,E1,E3,E5,E7,E9,E11,F1,F3,F5,G1,G3,G5,H1,H3,H5,E7,E9,E11,F1,F3,F5,F7,F9,F11,G7,G9,G11,F1,F3,F5,F7,F9,F11,G1,G3,G5,H1,H3,H5,F7,F9,F11,G7,G9,G11,G1,G3,G5,H1,H3,H5,G7,G9,G11,H1,H3,H5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45x105,LION
