1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195
A1,A3,A5,A1,A3,A5,A1,A3,A5,A1,A3,A5,A1,A3,A5,A1,A3,A5,A7,A9,A11,A7,A9,A11,A7,A9,A11,A7,A9,A11,A7,A9,A11,A7,A9,A11,A3,A5,A1,B1,B3,B5,B1,B3,B5,B1,B3,B5,B1,B3,B5,B1,B3,B5,A3,A5,A1,B7,B9,B11,B7,B9,B11,B7,B9,B11,A3,A5,A1,B7,B9,B11,A9,A11,A7,C1,C3,C5,C1,C3,C5,C1,C3,C5,A3,A5,A1,C1,C3,C5,A9,A11,A7,C1,C3,C5,C7,C9,C11,C7,C9,C11,A3,A5,A1,A9,A11,A7,C7,C9,C11,B3,B5,B1,D1,D3,D5,D1,D3,D5,A3,A5,A1,A9,A11,A7,B3,B5,B1,D1,D3,D5,A3,A5,A1,D7,D9,D11,A9,A11,A7,B3,B5,B1,B9,B11,B7,A9,A11,A7,E1,E3,E5,B3,B5,B1,E1,E3,E5,B9,B11,B7,B3,B5,B1,E7,E9,E11,B9,B11,B7,C3,C5,C1,B9,B11,B7,C3,C5,C1,C3,C5,C1,F7,F9,F11,C9,C11,C7,C9,C11,C7,D3,D5,D1
C3,C5,C1,C9,C11,C7,F7,F9,F11,D3,D5,D1,G7,G9,G11,D9,D11,D7,B1,B3,B5,B3,B5,B1,E1,E3,E5,C9,C11,C7,D3,D5,D1,D9,D11,D7,A7,A9,A11,B7,B9,B11,B9,B11,B7,C7,C9,C11,D3,D5,D1,D9,D11,D7,B1,B3,B5,C1,C3,C5,F1,F3,F5,D9,D11,D7,B7,B9,B11,E3,E5,E1,B7,B9,B11,C7,C9,C11,C9,C11,C7,D3,D5,D1,C1,C3,C5,E3,E5,E1,C1,C3,C5,E9,E11,E7,D3,D5,D1,D9,D11,D7,C7,C9,C11,C7,C9,C11,E9,E11,E7,C7,C9,C11,D7,D9,D11,D9,D11,D7,D1,D3,D5,D1,D3,D5,D1,D3,D5,F3,F5,F1,D7,D9,D11,E3,E5,E1,D7,D9,D11,D7,D9,D11,D7,D9,D11,E1,E3,E5,E9,E11,E7,E1,E3,E5,F3,F5,F1,E1,E3,E5,E7,E9,E11,F3,F5,F1,E7,E9,E11,E7,E9,E11,F1,F3,F5,F1,F3,F5,F7,F9,F11,G3,G5,G1,F7,F9,F11,G1,G3,G5,G7,G9,G11
E1,E3,E5,F1,F3,F5,G9,G11,G7,G1,G3,G5,H3,H5,H1,H1,H3,H5,E9,E11,E7,B7,B9,B11,G3,G5,G1,E7,E9,E11,F7,F9,F11,G7,G9,G11,H1,H3,H5,F3,F5,F1,C1,C3,C5,F9,F11,F7,F1,F3,F5,G1,G3,G5,G7,G9,G11,F9,F11,F7,H3,H5,H1,F7,F9,F11,G1,G3,G5,G7,G9,G11,H1,H3,H5,G3,G5,G1,D1,D3,D5,E1,E3,E5,F7,F9,F11,G1,G3,G5,G7,G9,G11,H1,H3,H5,D7,D9,D11,E7,E9,E11,F1,F3,F5,G1,G3,G5,G7,G9,G11,H1,H3,H5,H3,H5,H1,E1,E3,E5,E7,E9,E11,F7,F9,F11,G7,G9,G11,H1,H3,H5,E1,E3,E5,E7,E9,E11,F1,F3,F5,G1,G3,G5,H1,H3,H5,E7,E9,E11,F1,F3,F5,F7,F9,F11,G1,G3,G5,G7,G9,G11,F1,F3,F5,F7,F9,F11,G1,G3,G5,H1,H3,H5,F7,F9,F11,G7,G9,G11,G1,G3,G5,G7,G9,G11,H1,H3,H5,G7,G9,G11,H1,H3,H5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
