1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399
A1,A2,A3,A1,A2,A3,A1,A2,A3,A1,A2,A3,A1,A2,A3,A1,A2,A3,A1,A2,A3,A1,A2,A3,A1,A2,A3,A4,A5,A6,A4,A5,A6,A4,A5,A6,A4,A5,A6,A4,A5,A6,A4,A5,A6,A4,A5,A6,A4,A5,A6,A4,A5,A6,A2,A3,A1,A7,A8,A9,A7,A8,A9,A7,A8,A9,A7,A8,A9,A7,A8,A9,A7,A8,A9,A7,A8,A9,A2,A3,A1,A7,A8,A9,A10,A11,A12,A10,A11,A12,A10,A11,A12,A10,A11,A12,A10,A11,A12,A10,A11,A12,A2,A3,A1,A10,A11,A12,A5,A6,A4,B1,B2,B3,B1,B2,B3,B1,B2,B3,B1,B2,B3,B1,B2,B3,B1,B2,B3,A2,A3,A1,B1,B2,B3,A5,A6,A4,B4,B5,B6,B4,B5,B6,B4,B5,B6,B4,B5,B6,A2,A3,A1,B4,B5,B6,A5,A6,A4,B4,B5,B6,A8,A9,A7,B7,B8,B9,B7,B8,B9,B7,B8,B9,A2,A3,A1,B7,B8,B9,A5,A6,A4,B7,B8,B9,A8,A9,A7,B7,B8,B9,B10,B11,B12,B10,B11,B12,B10,B11,B12,B10,B11,B12,A2,A3,A1,A5,A6,A4,A8,A9,A7,B10,B11,B12,A11,A12,A10,C1,C2,C3,C1,C2,C3,C1,C2,C3,A2,A3,A1,A5,A6,A4,A8,A9,A7,A11,A12,A10,C1,C2,C3,C4,C5,C6,C4,C5,C6,A2,A3,A1,C4,C5,C6,A5,A6,A4,A8,A9,A7,A11,A12,A10,B2,B3,B1,A2,A3,A1,C7,C8,C9,A5,A6,A4,C7,C8,C9,A8,A9,A7,A11,A12,A10,B2,B3,B1,A5,A6,A4,A8,A9,A7,C10,C11,C12,A11,A12,A10,B2,B3,B1,B5,B6,B4,A8,A9,A7,D1,D2,D3,A11,A12,A10,D1,D2,D3,B2,B3,B1,D1,D2,D3,B5,B6,B4,D1,D2,D3,A11,A12,A10,D4,D5,D6,B2,B3,B1,D4,D5,D6,B5,B6,B4,D4,D5,D6,B8,B9,B7,B2,B3,B1,B5,B6,B4,D7,D8,D9,B8,B9,B7,D7,D8,D9,B5,B6,B4,D10,D11,D12,B8,B9,B7,B11,B12,B10,B8,B9,B7,B11,B12,B10,B11,B12,B10,E4,E5,E6,C2,C3,C1,C2,C3,C1,C5,C6,C4
B8,B9,B7,D4,D5,D6,B11,B12,B10,D10,D11,D12,C2,C3,C1,E4,E5,E6,C5,C6,C4,E10,E11,E12,C8,C9,C7,A7,A8,A9,A8,A9,A7,B1,B2,B3,A11,A12,A10,B8,B9,B7,B11,B12,B10,C2,C3,C1,C5,C6,C4,C8,C9,C7,A4,A5,A6,A11,A12,A10,B4,B5,B6,B11,B12,B10,D4,D5,D6,C2,C3,C1,C5,C6,C4,C8,C9,C7,A7,A8,A9,C11,C12,C10,B1,B2,B3,B2,B3,B1,B7,B8,B9,C1,C2,C3,C5,C6,C4,C8,C9,C7,A10,A11,A12,C11,C12,C10,A10,A11,A12,B4,B5,B6,B5,B6,B4,B10,B11,B12,B8,B9,B7,C5,C6,C4,C8,C9,C7,B1,B2,B3,C11,C12,C10,B1,B2,B3,B8,B9,B7,B11,B12,B10,C2,C3,C1,C8,C9,C7,B4,B5,B6,C11,C12,C10,B4,B5,B6,D2,D3,D1,B4,B5,B6,B10,B11,B12,C2,C3,C1,C5,C6,C4,B7,B8,B9,C11,C12,C10,B7,B8,B9,D2,D3,D1,B7,B8,B9,D5,D6,D4,C1,C2,C3,C2,C3,C1,C7,C8,C9,C5,C6,C4,B10,B11,B12,B10,B11,B12,B10,B11,B12,D5,D6,D4,B10,B11,B12,C5,C6,C4,C10,C11,C12,C8,C9,C7,C1,C2,C3,C1,C2,C3,C1,C2,C3,C1,C2,C3,D8,D9,D7,C7,C8,C9,C8,C9,C7,C4,C5,C6,C11,C12,C10,C4,C5,C6,C4,C5,C6,C4,C5,C6,C4,C5,C6,C7,C8,C9,C11,C12,C10,C7,C8,C9,D2,D3,D1,C7,C8,C9,C7,C8,C9,C7,C8,C9,C10,C11,C12,C10,C11,C12,D5,D6,D4,C10,C11,C12,C10,C11,C12,C10,C11,C12,D1,D2,D3,D5,D6,D4,D1,D2,D3,D8,D9,D7,D1,D2,D3,D11,D12,D10,D1,D2,D3,E2,E3,E1,D4,D5,D6,D8,D9,D7,D4,D5,D6,D11,D12,D10,D4,D5,D6,E2,E3,E1,D4,D5,D6,D7,D8,D9,D7,D8,D9,E2,E3,E1,D7,D8,D9,E5,E6,E4,D10,D11,D12,E2,E3,E1,D10,D11,D12,D10,D11,D12,E1,E2,E3,E1,E2,E3,E4,E5,E6,E8,E9,E7,E4,E5,E6,E7,E8,E9,E10,E11,E12
D1,D2,D3,E5,E6,E4,D7,D8,D9,E8,E9,E7,E1,E2,E3,E11,E12,E10,E7,E8,E9,F2,F3,F1,F1,F2,F3,D2,D3,D1,A10,A11,A12,D5,D6,D4,B4,B5,B6,C10,C11,C12,D4,D5,D6,D10,D11,D12,E4,E5,E6,E10,E11,E12,F1,F2,F3,B1,B2,B3,D8,D9,D7,D1,D2,D3,E8,E9,E7,D7,D8,D9,E1,E2,E3,E7,E8,E9,E10,E11,E12,F1,F2,F3,D8,D9,D7,B4,B5,B6,D11,D12,D10,E2,E3,E1,D10,D11,D12,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,D11,D12,D10,B7,B8,B9,E2,E3,E1,C1,C2,C3,D7,D8,D9,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,B10,B11,B12,C4,C5,C6,C10,C11,C12,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,E5,E6,E4,C7,C8,C9,D1,D2,D3,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,E8,E9,E7,C4,C5,C6,E11,E12,E10,C10,C11,C12,D7,D8,D9,E1,E2,E3,E7,E8,E9,E10,E11,E12,F1,F2,F3,C7,C8,C9,F2,F3,F1,D1,D2,D3,D4,D5,D6,D10,D11,D12,E4,E5,E6,E10,E11,E12,F1,F2,F3,F2,F3,F1,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,E1,E2,E3,E7,E8,E9,F1,F2,F3,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E4,E5,E6,E10,E11,E12,D1,D2,D3,D7,D8,D9,D10,D11,D12,E1,E2,E3,E7,E8,E9,F1,F2,F3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,D10,D11,D12,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,E1,E2,E3,E4,E5,E6,E7,E8,E9,F1,F2,F3,E4,E5,E6,E10,E11,E12,E7,E8,E9,E10,E11,E12,F1,F2,F3,E10,E11,E12,F1,F2,F3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
