"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"A1","A2","A3","A1","A2","A3","A1","A2","A3","A1","A2","A3","A1","A2","A3"
"D10","D11","D12","C2","C3","C1","E4","E5","E6","C5","C6","C4","E10","E11","E12"
"F11","F12","F10","E1","E2","E3","G2","G3","G1","E7","E8","E9","G5","G6","G4"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"A1","A2","A3","A1","A2","A3","A1","A2","A3","A1","A2","A3","A1","A2","A3"
"C8","C9","C7","F4","F5","F6","C11","C12","C10","F10","F11","F12","D2","D3","D1"
"F1","F2","F3","G8","G9","G7","F7","F8","F9","G11","G12","G10","G1","G2","G3"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
"A1","A2","A3","A1","A2","A3","A1","A2","A3","A1","A2","A3","A1","A2","A3"
"G4","G5","G6","D5","D6","D4","G10","G11","G12","D8","D9","D7","H4","H5","H6"
"H2","H3","H1","G7","G8","G9","H5","H6","H4","H1","H2","H3","H8","H9","H7"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"A1","A2","A3","A4","A5","A6","A4","A5","A6","A4","A5","A6","A4","A5","A6"
"D11","D12","D10","A7","A8","A9","A8","A9","A7","B1","B2","B3","A11","A12","A10"
"H7","H8","H9","E5","E6","E4","A10","A11","A12","E8","E9","E7","B4","B5","B6"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"61","62","63","64","65","66","67","68","69","70","71","72","73","74","75"
"A4","A5","A6","A4","A5","A6","A4","A5","A6","A4","A5","A6","A4","A5","A6"
"B7","B8","B9","B2","B3","B1","C1","C2","C3","D1","D2","D3","B11","B12","B10"
"E11","E12","E10","B10","B11","B12","F2","F3","F1","F8","F9","F7","D4","D5","D6"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"76","77","78","79","80","81","82","83","84","85","86","87","88","89","90"
"A4","A5","A6","A4","A5","A6","A4","A5","A6","A4","A5","A6","A4","A5","A6"
"C5","C6","C4","C8","C9","C7","C11","C12","C10","D2","D3","D1","D5","D6","D4"
"E4","E5","E6","E10","E11","E12","F4","F5","F6","F10","F11","F12","G4","G5","G6"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"91","92","93","94","95","96","97","98","99","100","101","102","103","104","105"
"A4","A5","A6","A4","A5","A6","A2","A3","A1","A7","A8","A9","A7","A8","A9"
"D8","D9","D7","D11","D12","D10","A4","A5","A6","B2","B3","B1","B10","B11","B12"
"G10","G11","G12","H4","H5","H6","H7","H8","H9","B7","B8","B9","F2","F3","F1"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"106","107","108","109","110","111","112","113","114","115","116","117","118","119","120"
"A7","A8","A9","A7","A8","A9","A7","A8","A9","A7","A8","A9","A7","A8","A9"
"B8","B9","B7","C10","C11","C12","C2","C3","C1","C5","C6","C4","C8","C9","C7"
"C7","C8","C9","F8","F9","F7","D7","D8","D9","E1","E2","E3","E7","E8","E9"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"121","122","123","124","125","126","127","128","129","130","131","132","133","134","135"
"A7","A8","A9","A7","A8","A9","A7","A8","A9","A7","A8","A9","A7","A8","A9"
"E10","E11","E12","C11","C12","C10","D2","D3","D1","F10","F11","F12","D5","D6","D4"
"G8","G9","G7","F1","F2","F3","F7","F8","F9","H2","H3","H1","G1","G2","G3"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"136","137","138","139","140","141","142","143","144","145","146","147","148","149","150"
"A7","A8","A9","A7","A8","A9","A2","A3","A1","A7","A8","A9","A10","A11","A12"
"D8","D9","D7","D11","D12","D10","A7","A8","A9","E2","E3","E1","B2","B3","B1"
"G7","G8","G9","H1","H2","H3","H4","H5","H6","H7","H8","H9","B4","B5","B6"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"151","152","153","154","155","156","157","158","159","160","161","162","163","164","165"
"A10","A11","A12","A10","A11","A12","A10","A11","A12","A10","A11","A12","A10","A11","A12"
"B5","B6","B4","C1","C2","C3","B8","B9","B7","E7","E8","E9","C11","C12","C10"
"B10","B11","B12","F5","F6","F4","C4","C5","C6","G8","G9","G7","E10","E11","E12"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"166","167","168","169","170","171","172","173","174","175","176","177","178","179","180"
"A10","A11","A12","A10","A11","A12","A10","A11","A12","A10","A11","A12","A10","A11","A12"
"F1","F2","F3","D2","D3","D1","F7","F8","F9","D5","D6","D4","G1","G2","G3"
"G11","G12","G10","F4","F5","F6","H2","H3","H1","F10","F11","F12","H5","H6","H4"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"181","182","183","184","185","186","187","188","189","190","191","192","193","194","195"
"A10","A11","A12","A10","A11","A12","A10","A11","A12","A2","A3","A1","A10","A11","A12"
"D8","D9","D7","G7","G8","G9","D11","D12","D10","A10","A11","A12","E2","E3","E1"
"G4","G5","G6","H8","H9","H7","G10","G11","G12","H1","H2","H3","H4","H5","H6"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"196","197","198","199","200","201","202","203","204","205","206","207","208","209","210"
"A5","A6","A4","B1","B2","B3","B1","B2","B3","B1","B2","B3","B1","B2","B3"
