n = 960, t = 94
sbl eps = 1e-6

SBL

        d       Precision       Recall  surep   unsurep  avg_tests  2_stage
        1       1.000           1.000    1.0      0.0      94.0        0
        2       1.000           1.000    2.0      0.0      94.0        0
        3       1.000           1.000    3.0      0.0      94.0        0
        4       0.985           1.000    4.0      0.1      94.1        3
        5       0.969           1.000    5.0      0.2      94.2        8
        6       0.946           1.000    6.0      0.3      94.3       14
        7       0.891           1.000    6.8      1.1      95.1       29
        8       0.837           1.000    7.6      1.9      95.9       31
        9       0.712           1.000    6.8      5.8      99.8       48
        10      0.676           1.000    6.2      8.6     102.6       48
        15      0.333           0.997    0.1     44.8     138.8       50
        20      0.205           0.998    0.0     97.5     191.5       50
        25      0.136           0.987    0.0    181.8     275.8       50

combined_COMP_SBL

        d       Precision       Recall  surep   unsurep  avg_tests  2_stage
        1       1.000           1.000    1.0      0.0      94.0        0
        2       1.000           1.000    2.0      0.0      94.0        0
        3       1.000           1.000    3.0      0.0      94.0        0
        4       0.995           1.000    4.0      0.0      94.0        1
        5       0.980           1.000    5.0      0.1      94.1        5
        6       0.955           1.000    6.0      0.3      94.3       13
        7       0.911           1.000    6.8      0.9      94.9       24
        8       0.851           1.000    7.6      1.8      95.8       32
        9       0.711           1.000    6.8      5.8      99.8       49
        10      0.679           1.000    6.2      8.5     102.5       48
        15      0.332           0.999    0.1     45.1     139.1       50
        20      0.208           0.998    0.0     96.0     190.0       50
        25      0.136           0.987    0.0    181.0     275.0       50

